cmr-smr_ow (db),vp3k,yr,y,emfmf_a_2,xr,x,qst date,deltamrr_a_2,wew (uin),opc/flare,wg,bar tilt tgt,ss-th,design,sg,lot id,bvl,vp3k_conf,doe#,nl,wafer,swa,pre-tilt lap angle,cvb type,c2 config,(2 piece) ss seed/cap,lot,th1 (cvb2x),s3-th,doe_name,program,record_mode,read_only
-0.008440000000000001,40nm,5.0,3.4398,10.33631,60,60.348,9/10/2015,10.3252,2.46912,SE93C 60deg,20nm,90.03deg,150nm,E W949 D#1,25nm,WFWG$C55.FCA.C.,Single,40nm,Eval W949,Long,WFWG,6nm,No pre-tilt,CVB2X,3T-SYL,POR,DWVA/WFWG_C55D1_SEP13N,Short,350nm,doe_001,Rembrandt,CMR,Y
10.26446,40nm,5.0,3.4398,12.93969,60,57.78,9/10/2015,4.42505,3.20647,SE93C 60deg,20nm,90.03deg,150nm,E W949 D#1,25nm,WFWG$C55.FCA.C.,Single,40nm,Eval W949,Long,WFWG,6nm,No pre-tilt,CVB2X,3T-SYL,POR,DWVA/WFWG_C55D1_SEP13N,Short,350nm,doe_001,Rembrandt,CMR,Y
-0.83524,40nm,5.0,3.4398,10.33128,55,55.212,9/10/2015,-3.17696,2.36366,SE93C 60deg,20nm,90.03deg,150nm,E W949 D#1,25nm,WFWG$C55.FCA.C.,Single,40nm,Eval W949,Long,WFWG,6nm,No pre-tilt,CVB2X,3T-SYL,POR,DWVA/WFWG_C55D1_SEP13N,Short,350nm,doe_001,Rembrandt,CMR,Y
1.03714,40nm,5.0,3.4398,13.21572,55,53.5,9/10/2015,-2.29443,2.4746799999999998,SE93C 60deg,20nm,90.03deg,150nm,E W949 D#1,25nm,WFWG$C55.FCA.C.,Single,40nm,Eval W949,Long,WFWG,6nm,No pre-tilt,CVB2X,3T-SYL,POR,DWVA/WFWG_C55D1_SEP13N,Short,350nm,doe_001,Rembrandt,CMR,Y
5.121519999999999,40nm,5.0,3.4398,11.56969,50,50.932,9/10/2015,-6e-05,2.8693299999999997,SE93C 60deg,20nm,90.03deg,150nm,E W949 D#1,25nm,WFWG$C55.FCA.C.,Single,40nm,Eval W949,Long,WFWG,6nm,No pre-tilt,CVB2X,3T-SYL,POR,DWVA/WFWG_C55D1_SEP13N,Short,350nm,doe_001,Rembrandt,CMR,Y
5.7766,40nm,5.0,3.4398,11.30937,50,50.076,9/10/2015,-6.88361,3.02192,SE93C 60deg,20nm,90.03deg,150nm,E W949 D#1,25nm,WFWG$C55.FCA.C.,Single,40nm,Eval W949,Long,WFWG,6nm,No pre-tilt,CVB2X,3T-SYL,POR,DWVA/WFWG_C55D1_SEP13N,Short,350nm,doe_001,Rembrandt,CMR,Y
-0.8351,40nm,5.0,3.4398,16.80943,50,48.364,9/10/2015,0.68085,2.43223,SE93C 60deg,20nm,90.03deg,150nm,E W949 D#1,25nm,WFWG$C55.FCA.C.,Single,40nm,Eval W949,Long,WFWG,6nm,No pre-tilt,CVB2X,3T-SYL,POR,DWVA/WFWG_C55D1_SEP13N,Short,350nm,doe_001,Rembrandt,CMR,Y
5.44298,40nm,5.0,4.2042,11.5813,90,91.164,9/10/2015,0.88495,2.83212,SE93C 60deg,20nm,90.03deg,150nm,E W949 D#1,25nm,WFWG$C55.FCA.C.,Single,40nm,Eval W949,Long,WFWG,6nm,No pre-tilt,CVB2X,3T-SYL,POR,DWVA/WFWG_C55D1_SEP13N,Short,350nm,doe_001,Rembrandt,CMR,Y
7.396039999999999,40nm,5.0,4.2042,13.11881,90,90.308,9/10/2015,-0.24153,2.82748,SE93C 60deg,20nm,90.03deg,150nm,E W949 D#1,25nm,WFWG$C55.FCA.C.,Single,40nm,Eval W949,Long,WFWG,6nm,No pre-tilt,CVB2X,3T-SYL,POR,DWVA/WFWG_C55D1_SEP13N,Short,350nm,doe_001,Rembrandt,CMR,Y
-2.93748,40nm,5.0,4.2042,13.863,90,88.596,9/10/2015,0.0,2.81486,SE93C 60deg,20nm,90.03deg,150nm,E W949 D#1,25nm,WFWG$C55.FCA.C.,Single,40nm,Eval W949,Long,WFWG,6nm,No pre-tilt,CVB2X,3T-SYL,POR,DWVA/WFWG_C55D1_SEP13N,Short,350nm,doe_001,Rembrandt,CMR,Y
